team,avg_DTDP,avg_CDEM,avg_CDEM_basic,avg_CDEM_detailed,optimal_play_pct_basic,optimal_play_pct_detailed,total_touchdowns,total_plays,avg_epa,success_rate,avg_yards_gained,DTDP_vs_hist,CDEM_vs_hist,optimal_basic_vs_hist,optimal_detailed_vs_hist,efficiency_index,efficiency_rank,CDEM_rank,DTDP_rank
MIN,0.5564970626067771,39.15315841090034,48.313339955667274,33.04637071438905,0.4729064039408867,0.09359605911330049,34.0,203,-0.10905201794862426,0.43842364532019706,2.3645320197044337,0.0006171108842765172,0.21061884378234907,0.0687551365350555,-0.0047725525266741065,0.34248234015855766,15,8,15
PHI,0.5229636644387555,37.56335846917245,44.23849151390952,33.11326977268107,0.3501683501683502,0.08754208754208755,48.0,297,0.04452229292127458,0.45791245791245794,2.688135593220339,-0.03291628728374507,-1.3791810979455406,-0.053982917237481,-0.01082652409788705,0.34021452805969743,16,26,32
GB,0.5629256982255912,38.09885008527866,44.68930260900794,33.70521506945914,0.36134453781512604,0.08403361344537816,43.0,238,0.02232013488662178,0.47478991596638653,2.670886075949367,0.007045746503090644,-0.843689481839327,-0.04280672959070514,-0.014334998194596438,0.33887425661131954,17,22,14
LA,0.5320895887146754,38.260431877039416,45.66537497180159,33.323803147197964,0.39285714285714285,0.08333333333333333,37.0,252,-0.03936911774694506,0.47619047619047616,2.3412698412698414,-0.02379036300782522,-0.6821076900785741,-0.011294124548688333,-0.015035278306641267,0.33288509364956237,18,20,29
MIA,0.5783765039882468,38.30339463436838,45.93514455939565,33.215561351016866,0.40512820512820513,0.08205128205128205,30.0,195,-0.057096017530044514,0.4153846153846154,2.1443298969072164,0.022496552265746206,-0.639144932749609,0.0009769377223739495,-0.016317329588692545,0.33168562887831066,19,17,1
SEA,0.5660383574529276,38.70535214791434,46.9371858550289,33.21746300983796,0.4236111111111111,0.08333333333333333,27.0,144,-0.08908198725453394,0.4791666666666667,2.611111111111111,0.010158405730427034,-0.23718741920365005,0.019459843705279922,-0.015035278306641267,0.33064103900328584,20,14,11
NO,0.5340783469775955,38.265460011871156,43.06708890672716,35.06437408196716,0.3357142857142857,0.12857142857142856,25.0,140,-0.05545079316133879,0.4785714285714286,2.85,-0.021801604744905112,-0.6770795552468343,-0.0684369816915455,0.030202816931453963,0.3262096630099307,21,19,28
PIT,0.5381706625570062,38.1665883714147,44.7806203403132,33.75723372548237,0.37681159420289856,0.0966183574879227,28.0,207,-0.08343767677217598,0.4444444444444444,2.4830917874396135,-0.017709289165494413,-0.7759511957032927,-0.027339673202932624,-0.0017502541520518916,0.3216812703114499,22,21,26
NYJ,0.5655703763071549,38.452087320413845,45.43959904323372,33.793746171867255,0.4,0.1,31.0,170,-0.12984848338070842,0.45294117647058824,2.588235294117647,0.0096904245846543,-0.49045224670414456,-0.0041512674058311605,0.0016313883600254098,0.3185964424152551,23,16,12
NE,0.5288117321256972,38.26996269226803,45.48727104488644,33.458423790522424,0.41081081081081083,0.10810810810810811,21.0,185,-0.15178852061638445,0.42162162162162165,2.0054054054054054,-0.02706821959680339,-0.672576874849959,0.006659543404979651,0.009739496468133518,0.3176178974948016,24,18,30
